index,english_name,hindi_name,english_one_line,hindi_one_line
494,Mattaaya,मत्ताय,Salutations To The one who is intoxicated with divine bliss and cosmic energy.,दिव्य आनंद और ब्रह्मांडीय ऊर्जा से मतवाले हुए को नमन।
495,Maghavate,मघवते,"Salutations To The one who is generous and bountiful, like Indra (Maghavan).",इंद्र (मघवन) की तरह उदार और प्रचुरता प्रदान करने वाले को नमन।
496,Amitaaya,अमिताय,"Salutations To The one who is immeasurable, boundless, and infinite.","जो अमित, असीम और अनंत हैं, उन्हें नमन।"
497,Mataye,मताय,Salutations To The one who is supreme intelligence and guiding thought.,परम् बुद्धि और मार्गदर्शक विचार स्वरूप को नमन।
498,Mahaabhogaaya,महाभोगाय,Salutations To The one who is the great enjoyer of the cosmic manifestation.,ब्रह्मांडीय अभिव्यक्ति के महान भोक्ता को नमन।
499,Amritaaya,अमृताय,Salutations To The one who is immortal and the divine nectar of eternity.,"जो अमर हैं और अनंत काल के दिव्य अमृत स्वरूप हैं, उन्हें नमन।"
500,Mantraaya,मन्त्राय,"Salutations To The one who is the sacred formula, the embodiment of the divine mantra.","जो पवित्र सूत्र, दिव्य मंत्र के साकार रूप हैं, उन्हें नमन।"
501,Manggalaaya,मङ्गलाय,Salutations To The one who is the very essence of all that is auspicious and fortunate.,"जो सभी शुभ और सौभाग्यशाली के सार हैं, उन्हें नमन।"
502,Manggalapriyaaya,मङ्गलप्रियाय,Salutations To The one who is fond of all things auspicious and benevolent.,सभी शुभ और मंगलकारी वस्तुओं के प्रिय (या सभी मंगल कार्यों से प्रेम करने वाले) को नमन।
503,Amoghadandaaya,अमोघदण्डाय,Salutations To The one whose punishment is unerring and infallible.,"जिनकी दण्ड-नीति अचूक और निर्भ्रान्त है, उन (कालभैरव) को नमन।"
504,Madhyasthaaya,मध्यस्थाय,"Salutations To The one who is impartial, neutral, and stands in the center of all things.","जो निष्पक्ष, तटस्थ और सभी चीजों के केंद्र में स्थित हैं, उन्हें नमन।"
505,Maheshaaya,महेशाय,"Salutations To The one who is the Great Lord, the supreme sovereign.","महान प्रभु, सर्वोच्च संप्रभु को नमन।"
506,Amoghavikramaaya,अमोघविक्रमाय,Salutations To The one whose valor and prowess are unfailing and invincible.,"जिनकी वीरता और पराक्रम अचूक और अदम्य हैं, उन्हें नमन।"
507,Ameyaaya,अमेयाय,"Salutations To The one who is immeasurable, unknowable, and beyond all estimation.","जो अप्रमेय, अज्ञेय और सभी अनुमान से परे हैं, उनको नमन।"
508,Arishtamathanaaya,अरिष्टमथनाय,Salutations To The one who is the great crusher and destroyer of all calamities and misfortunes.,सभी आपदाओं और दुर्भाग्य के महान संहारक और विनाशक (अरिष्टमथन) को नमन।
509,Mukundaaya,मुकुंदाय,Salutations To The one who is the giver of liberation (mukti) and ultimate freedom.,मोक्ष और परम स्वतंत्रता के प्रदाता (मुक्ति) को नमन।
510,Sarvapaapaghne,सर्वपापघ्ने,Salutations To The one who is the supreme destroyer of all sins and their effects.,सभी पापों और उनके प्रभावों का नाश करने वाले परमेश्वर को नमन।
511,Maataamahaaya,मातामहाया,Salutations To The one who is the great maternal grandfather of the cosmos.,ब्रह्मांड के महान नाना के स्वरूप को नमन।
512,Maatarishvane,मातरिश्वने,"Salutations To The  an who is the cosmic breath, moving in the celestial space like the wind god Matarishvan.","जो ब्रह्मांडीय श्वास हैं, पवन देव मातरिश्वन की तरह आकाशीय अंतरिक्ष में विचरण करने वाले को नमन।"
513,Manipuuraaya,मणिपूराय,"Salutations To The one who resides in the Manipura chakra, the city of jewels in the navel.",मणिपूर चक्र में निवास करने वाले (मणिपूर) को नमन।
514,Mahaashaayaaya,महाशयाय,"Salutations To The one who has a great, noble, and magnanimous mind.","महान, उदात्त और उदार मन वाले (महाशय) को नमन।"
515,Madaghne,मदघ्ने,"Salutations To The one who is the destroyer of all arrogance, pride, and intoxication.","समस्त अहंकार, अभिमान और मद का नाश करने वाले को नमन।"
516,Mahaagarbhaaya,महागर्भाय,Salutations To The one who contains the great cosmic womb of the universe within himself.,"जिन्होंने अपने भीतर ब्रह्मांड के महान ब्रह्मांडीय गर्भ को धारण किया है, उन्हें नमन।"
517,Mahaakalpaaya,महाकल्पाय,"Salutations To The one who is the great cosmic aeon, the measure of universal time.","जो महान ब्रह्मांडीय कल्प हैं, जो ब्रह्मांडीय समय के मापक हैं, उनको नमन।"
518,Mahaadhanushe,महाधनुषे,Salutations To The one who wields a great and mighty celestial bow.,महान और शक्तिशाली स्वर्गीय धनुष धारण करने वाले (महाधनुष) को नमन।
519,Manase,मनसे,"Salutations To The one who is the cosmic mind, the source of all thought.",ब्रह्मांडीय मन और सभी विचारों के स्रोत को नमन।
520,Manomayaaya,मनोमायाय,Salutations To The one who is formed of pure consciousness and whose nature is of the mind.,शुद्ध चेतना से निर्मित और मन के स्वरूप वाले (भगवान भैरव) को नमन।
521,Maanine,मानिने,"Salutations To The one who is honored, respected, and worthy of all reverence.","जो सम्मानित, पूजनीय और सभी श्रद्धा के योग्य हैं, उन्हें नमन।"
522,Merupadyaaya,मेरुपद्याय,Salutations To The one whose divine feet are the sacred Mount Meru.,"जिनके दिव्य चरण पवित्र मेरु पर्वत हैं, उन्हें नमन।"
523,Mridaaya,मृडाय,"Salutations To The one who is gracious, merciful, and compassionate to his devotees.","अपने भक्तों के प्रति कृपालु, दयालु और करुणामय रहने वाले को नमन।"
524,Manave,मानवे,"Salutations To The one who is the primordial man, the father of humanity (Manu).",आदि पुरुष मनु को नमन।
525,Mahaashobhaaya,महाशोभाय,"Salutations To The one who possesses great, supreme, and dazzling beauty.","महान, परम और तेजस्वी सौंदर्य से युक्त (महाशोभ) को नमन।"
526,Mahaajnaanine,महाज्ञानिने,"Salutations To The one who possesses great, profound, and supreme wisdom.","महान, गहन और परम ज्ञान के स्वामी को नमन।"
527,Mahaakaalaaya,महाकालाय,"Salutations To The one who is the Great Time, the destroyer of all things.","जो महाकाल हैं, सभी वस्तुओं का विनाश करने वाले हैं, उनको नमन।"
528,Kalipriyaaya,कलिप्रियाय,"Salutations To The one who is fond of the age of Kali, or of quarrels.","कलियुग, अथवा झगड़ों के प्रिय को नमन।"
529,Mahaavatave,महावटवे,"Salutations To The one who is the great banyan tree, the axis of the cosmos.","महान वटवृक्ष स्वरूप, ब्रह्मांड के अक्ष को नमन।"
530,Mahaatyaagine,महात्यागिने,Salutations To The one who is the greatest of all renunciants.,सभी संन्यासियों में महानतम त्याग करने वाले को नमन।
531,Mahaakoshaaya,महाकोषाय,Salutations To The one who is the great treasure or sheath that envelops reality.,"उस महान कोष को, जो वास्तविकता को आच्छादित करने वाला आवरण है, नमन।"
532,Mahaagataye,महागतये,Salutations To The one who is the supreme and ultimate goal of existence.,"जो अस्तित्व का सर्वोच्च और परम लक्ष्य हैं, उन्हें नमन।"
533,Shikhandine,शिखण्डिने,Salutations To The one who wears a peacock feather in his crest.,मोर पंख को अपने मुकुट में धारण करने वाले को नमन।
534,Kavacine,कवचिने,Salutations To The one who is always protected by divine armor.,उन को नमन जो सदैव दिव्य कवच से सुरक्षित रहते हैं।
535,Shuuline,शूलिने,Salutations To The one who wields the mighty trident (shula).,शक्तिशाली त्रिशूल (शूल) धारण करने वाले को नमन।
536,Jatine,जटिने,"Salutations To The one who has matted locks of hair, a sign of his ascetic power.","जिनके जटाएँ हैं, जो उनकी तपस्वी शक्ति का प्रतीक है, उन्हें नमन।"
537,Mundine,मुंडिने,"Salutations To The one who has a shaven head, symbolizing complete renunciation.","मुंडित सिर वाले, जो पूर्ण वैराग्य का प्रतीक हैं, उन्हें नमन।"
538,Kundaline,कुण्डलिने,"Salutations To The one who wears earrings, or who is the coiled serpent power (Kundalini).",कुंडल पहनने वाले अथवा कुण्डलिनी शक्ति के स्वरूप को नमन।
539,Meghamaaline,मेघमालिने,Salutations To The one who wears a garland of clouds.,बादलों की माला धारण करने वाले को नमन।
540,Cakrakhadgine,चक्रखड्गिने,Salutations To The one who is armed with a discus (chakra) and a sword (khadga).,चक्र और खड्ग (तलवार) से सुसज्जित (कलभैरव) को नमन।
541,Maaline,मालिने,Salutations To The one who wears a divine garland.,दिव्य माला धारण करने वाले को नमन।
542,Maayaaya,मायाय,Salutations To The one who is the master of illusion and the cosmic creative force.,माया और ब्रह्मांडीय रचनात्मक शक्ति के स्वामी को नमन।
543,Mahaamanaye,महामनये,"Salutations To The one who is the great, precious gem of existence.","जो अस्तित्व का महान और अनमोल रत्न है, ऐसे भगवान कालभैरव को नमन।"
544,Maheshvaasaaya,महेश्वसाय,Salutations To The one who is the great archer with a mighty bow.,महान धनुषधारी श्रेष्ठ धनुर्धर को नमन।
545,Mahaanandaaya,महानन्दाय,"Salutations To The one who is the embodiment of supreme, unending bliss.","जो परम, अनंत परमानंद के साकार रूप हैं, उन्हें नमन।"
546,Mahaacaaraaya,महाचार्याय,Salutations To The one who follows the greatest and most noble code of conduct.,श्रेष्ठतम और सबसे उत्तम आचार संहिता का पालन करने वाले (कालाभैरव) को नमन।
547,Mahaabhujaaya,महाभुजाय,Salutations To The one who possesses great and mighty arms.,महान और बलशाली भुजाओं वाले (महाभुज) को नमन।
548,Makhakartre,मखकर्त्रे,Salutations To The one who is the ultimate performer of all sacred sacrifices (makha).,सभी पवित्र यज्ञों (मख) के परम कर्ता को नमन।
549,Makhadhvamsine,मखध्वंसिने,Salutations To The one who is the great destroyer of sacrifices when they are performed with arrogance.,यज्ञों का अहंकार से अनुपालन करने पर उनका विनाश करने वाले को नमन।
550,Madhuraaya,मधुराय,Salutations To The one who is delightfully sweet and charming.,"जो आनंददायक रूप से मधुर और आकर्षक हैं, उनको नमन।"
551,Maghavatpriyaaya,मघवतप्रियाय,Salutations To The one who is dear Salutations To The  generous and bountiful Indra (Maghavan).,उदार और समृद्ध इंद्र (मघवन) को प्रिय होने वाले को नमन।
552,Brahmasrishtaye,ब्रह्मसृष्टये,Salutations To The one who is the creative power of Brahma.,ब्रह्मा की सृजनात्मक शक्ति के स्वरूप को नमन।
553,Brahmaviiryaaya,ब्रह्मवीर्याय,Salutations To The one who possesses the divine potency and valor of Brahman.,ब्रह्म की दिव्य शक्ति और वीरता धारण करने वाले को नमन।
554,Baanahastaaya,बाणहस्ताय,Salutations To The one who holds powerful arrows in his hand.,अपने हाथों में शक्तिशाली धनुष धारण करने वाले को नमन।
555,Acalaaya,अचलाय,"Salutations To The one who is unmoving, firm, and eternally stable.","जो अटल, दृढ़ और शाश्वत रूप से स्थिर हैं, उन्हें नमन।"
556,Baline,बलिने,"Salutations To The one who is supremely powerful, mighty, and strong.","अत्यधिक शक्तिशाली, पराक्रमी और बलवान को नमन।"
557,Kiiraruupaaya,कीररूपाय,Salutations To The one who can take the form of a parrot.,तोते का रूप धारण करने वाले को नमन।
558,Calaaya,चलाय,Salutations To The one who is ever-moving and dynamic.,निरंतर गतिशील और ऊर्जावान रहने वाले को नमन।
559,Unmaadine,उन्मादिने,"Salutations To The one who is divinely intoxicated, in a state of ecstatic madness.",उन्मत्त और आनंदमय पागलपन की स्थिति में दिव्य रूप से मदहोश रहने वाले को नमन।
560,Brahmanyaaya,ब्रह्मन्याय,Salutations To The one who is devoted Salutations To The  pursuit of spiritual knowledge and Salutations To The  Brahmins.,"जो आध्यात्मिक ज्ञान और ब्राह्मणों के प्रति समर्पित हैं, उन्हें नमन।"
561,Brahmavarcasaaya,ब्रह्मवर्चसाय,Salutations To The one who possesses the divine splendor and spiritual effulgence of Brahman.,ब्रह्म के दिव्य तेज और आध्यात्मिक कांति से युक्त (कालभैरव) को नमन।
562,Bahuruupaaya,बहुरूपाया,"Salutations To The one who manifests in countless, manifold forms.","अनेक, विविध रूपों में प्रकट होने वाले (भैरव) को नमन।"
563,Bahumayaaya,बहुमायाय,Salutations To The one who is pervaded by multiplicity and has become many.,"जो अनेकता से व्याप्त हैं और अनेक रूपों में प्रकट हुए हैं, उन प्रभु को नमन।"
564,Brahmavishnushivaatmakaaya,ब्रह्मविष्णुशिवात्मकाय,"Salutations To The one who is the single soul of the divine trinity: Brahma, Vishnu, and Shiva.","ब्रह्मा, विष्णु और शिव- इन दिव्य त्रिमूर्तियों के एकात्म स्वरूप को नमन।"
565,Brahmagarbhaaya,ब्रह्मगर्भाय,"Salutations To The one who contains Brahma, the creator, within his womb.","जिन्होंने ब्रह्मा, अर्थात सृष्टिकर्ता को अपने गर्भ में धारण किया है, उन्हें नमन।"
566,Aksharaaya,अक्षराय,"Salutations To The one who is eternal, imperishable, and indestructible.","जो शाश्वत, अविनाशी और नित्य हैं, उन (कालभैरव) को नमन।"
567,Dambhaaya,दम्भाय,Salutations To The one who can be proud or deceitful to test his devotees or punish the wicked.,"जो अपने भक्तों की परीक्षा लेने या दुष्टों को दंडित करने के लिए अभिमानी या कपटी हो सकते हैं, उन प्रभु को नमन।"
568,Brahmajyotishe,ब्रह्मज्योतिषे,"Salutations To The one who is the divine, effulgent light of the absolute Brahman.","जो परम ब्रह्म की दिव्य, तेजोमयी ज्योति स्वरूप हैं, उनको नमन।"
569,Brihaspataye,बृहस्पतये,"Salutations To The one who is the great lord of prayer, the preceptor of the gods (Brihaspati).","प्रार्थना के महान स्वामी, देवताओं के आचार्य (बृहस्पति) को नमन।"
570,Biijabuddhaye,बीजबुद्धये,Salutations To The one whose intelligence is the seed of all creation.,"जिनकी बुद्धि ही समस्त सृष्टि का बीज है, उन्हें नमन।"
571,Brahmacaarine,ब्रह्मचारिणे,"Salutations To The one who is the perfect celibate, walking in the path of Brahman.","ब्रह्म के मार्ग पर चलने वाले, पूर्ण ब्रह्मचर्य का पालन करने वाले को नमन।"
572,Braahmanaaya,ब्राह्मणाय,"Salutations To The one who is the embodiment of the priestly class, the Brahmin.","ब्राह्मणीय वर्ग, ब्राह्मण के अवतार को नमन।"
573,Braahmanapriyaaya,ब्राह्मणप्रियाय,Salutations To The one who is deeply fond of the wise and learned Brahmins.,"उन (भैरव) को नमन, जो ज्ञानी और विद्वान ब्राह्मणों के अत्यंत प्रिय हैं।"
574,Yugaadikrite,युगादिकृते,Salutations To The one who is the creator of the beginning of all cosmic ages (yugas).,सभी ब्रह्मांडीय युगों (युगों) के आदि के निर्माता को नमन।
575,Yugaavartaaya,युगावर्ताय,Salutations To The one who causes the cosmic ages to revolve in their cycles.,जो अपनी गति में ब्रह्मांडीय युगों (युगों) को घूमते रहने का कारण बनते हैं उन्हें नमन।
576,Yugaadhyakshaaya,युगाध्यक्षाय,Salutations To The one who is the supreme presiding deity of all the cosmic ages.,सभी ब्रह्मांडीय युगों के सर्वोच्च अधिष्ठाता देवता को नमन।
577,Yugaapaghne,युगापघ्ने,Salutations To The one who is the destroyer and dissolver of the cosmic ages.,युगों का विनाश और विघटन करने वाले को नमन।
578,Yajnaaya,यज्ञाय,Salutations To The one who is the sacred sacrificial ritual (yajna) itself.,"जो पवित्र यज्ञ स्वरूप हैं, उन्हें नमन।"
579,Yajnapataye,यज्ञपतये,Salutations To The one who is the divine lord and protector of all sacrifices.,सभी यज्ञों के दिव्य स्वामी और रक्षक को नमन।
580,Yajvane,यज्वने,"Salutations To The one who is the sacrificer, the one who performs the sacred ritual.","यज्ञ करने वाले, पवित्र अनुष्ठान संपन्न करने वाले को नमन।"
581,Yajnaanggaaya,यज्ञांगाय,Salutations To The one whose limbs are the very components of the sacrifice.,"जिनके अंग स्वयं यज्ञ के घटक हैं, उन्हें नमन।"
582,Yajnavaahanaaya,यज्ञवाहनाय,Salutations To The one who has the sacrifice as his divine vehicle.,"जिनका दिव्य वाहन यज्ञ है, ऐसे (महादेव) को नमन।"
583,Yogaacaaryaaya,योगाचार्याय,Salutations To The one who is the supreme preceptor and master of yoga.,योग के सर्वोच्च गुरु और स्वामी को नमन।
584,Yogigamyaaya,योगिगम्याय,Salutations To The one who can only be reached and attained by true yogis.,उन (कालभैरव) को नमन जो केवल सच्चे योगियों द्वारा ही प्राप्त किए जा सकते हैं।
585,Yogine,योगिने,Salutations To The one who is the perfect and supreme master of yoga.,योग के सिद्ध और सर्वोच्च स्वामी को नमन।
586,Yogyaaya,योग्याय,"Salutations To The  an who is worthy, fit, and deserving of all worship and union.","सभी पूजा और मिलन के योग्य, उपयुक्त और अधिकारी को नमन।"
587,Yogavide,योगविदे,Salutations To The one who is the ultimate knower of the science of yoga.,योग विज्ञान के परम ज्ञाता (भैरव) को नमन।
588,Yogaanggaaya,योगांगाय,Salutations To The one whose body is composed of the limbs of yoga.,"जिनके शरीर में योग के अंग समाहित हैं, उन्हें नमन।"
589,Yogahaaraanggaaya,योगहाराङ्गाय,Salutations To The one who is adorned with the essence of yoga.,योग के सार से सुशोभित होने वाले को नमन।
590,Yakshaaya,यक्षाय,"Salutations To The one who is a divine nature spirit (Yaksha), a guardian of treasures.",दिव्य प्रकृति की आत्मा (यक्ष) और खजाने के संरक्षक को नमन।
591,Yuktimayaaya,युक्तिमयाय,"Salutations To The one who is the embodiment of all reason, logic, and skillful planning.","जो सभी तर्क, हेतु और कुशल योजना के मूर्त स्वरूप हैं, उन्हें नमन।"
592,Yamaaya,यमाय,Salutations To The one who is the great controller and the lord of death.,महान नियंत्रक और मृत्यु के स्वामी को नमन।
593,Raudraaya,रौद्राय,"Salutations To The one who is of a fierce, wrathful, and terrible form.","प्रचंड, क्रोधी और भयानक रूप धारी को नमन।"
594,Raudrarshaye,रौद्रऋषये,Salutations To The one who is the fierce and powerful divine sage.,"जो उग्र और शक्तिशाली दिव्य ऋषि हैं, उन्हें नमन।"
595,Raahave,राहवे,"Salutations To The one who is the celestial being Rahu, who causes eclipses.","राहु रूपी खगोलीय सत्ता को नमन, जो ग्रहण का कारण बनते हैं।"
596,Ratiratnaaya,रति रत्नाय,Salutations To The one who is the most precious jewel of all delights and pleasures.,सभी सुखों और आनंदों के सबसे अनमोल रत्न को नमन।
597,Ranapriyaaya,रणप्रियाय,Salutations To The one who is fond of battle and loves a good fight.,युद्ध प्रेमी और अच्छी लड़ाई पसंद करने वाले को नमन।
598,Lokabandhave,लोकबन्धवे,Salutations To The one who is a friend and kinsman Salutations To The  entire world.,"जो समस्त संसार के मित्र और सम्बन्धी हैं, उन्हें नमन।"
599,Lokanaathaaya,लोकनाथाय,Salutations To The one who is the supreme lord and protector of all the worlds.,सभी लोकों के सर्वोच्च स्वामी और रक्षक को नमन।
600,Lakshayajnaaya,लक्षयज्ञाय,Salutations To The one who is the aim and object of a hundred thousand sacrifices.,"जो एक लाख यज्ञों के लक्ष्य और उद्देश्य हैं, उन्हें नमन।"
601,Lakshanaaya,लक्षणाय,Salutations To The one who is the embodiment of all auspicious marks and characteristics.,सभी शुभ चिह्नों और विशेषताओं के मूर्त स्वरूप को नमन।
602,Lolamaayaaya,लोलमायाय,Salutations To The one whose illusory power (Maya) is ever-flickering and playful.,"जिनकी माया शक्ति चंचल और क्रीड़ाशील है, उन्हें नमन।"
603,Lokakartre,लोककर्त्रे,Salutations To The one who is the creator and maker of all the worlds.,सभी लोकों के सृष्टिकर्ता और निर्माता को नमन।
604,Lokyaaya,लोक्याय,Salutations To The one who is renowned throughout all the worlds.,"जो समस्त लोकों में विख्यात हैं, उन्हें नमन।"
605,Lolaaya,लोलाय,"Salutations To The one who is restless, ever-desirous, and playful.","चंचल, सदैव इच्छुक और चपल रहने वाले (भगवान) को नमन।"
606,Laalitaaya,ललिताय,"Salutations To The one who is beloved, cherished, and fondly treated.","प्रिय, दुलारे और स्नेहपूर्वक व्यवहार किए जाने वाले को नमन।"
607,Sharabhaaya,शरभाय,"Salutations To The one who takes the form of Sharabha, a mythical creature more powerful than a lion.","जो शरभ का रूप धारण करते हैं, (जो एक पौराणिक प्राणी है जो एक शेर से अधिक शक्तिशाली है) उन्हें नमन।"
608,Varadaaya,वरदाय,Salutations To The one who is the supreme bestower of all boons and blessings.,सभी वरदानों और आशीषों को प्रदान करने वाले परम दाता को नमन।
609,Vandyaaya,वन्याय,"Salutations To The one who is worthy of all worship, adoration, and reverence.","सभी पूजा, आराधना और श्रद्धा के योग्य को नमन।"
610,Vidushe,विदुषे,"Salutations To The one who is supremely wise, learned, and a great scholar.","जो अत्यंत बुद्धिमान, ज्ञानी और महान विद्वान हैं, उन्हें नमन।"
611,Vishvasmai,विश्वास्मै,"Salutations To The one who is the entire universe, the cosmos itself.","जो संपूर्ण ब्रह्मांड, स्वयं ब्रह्मांड है, उसे नमन।"
612,Maheshvaraaya,महेश्वराय,"Salutations To The one who is the Great God, the supreme Lord of all.","जो महान ईश्वर हैं, सभी के सर्वोच्च प्रभु हैं, उन्हें नमन।"
613,Vedaantasaarasandohaaya,वेदान्तसारसन्दोहाय,Salutations To The one who is the very essence and embodiment of the wisdom of Vedanta.,"जो वेदान्त के ज्ञान का सार और मूर्त रूप हैं, उन्हें नमन।"
614,Vitataanggaaya,वितताङ्गाय,Salutations To The one whose limbs are vast and pervade the entire cosmos.,"जिनके अंग विस्तृत हैं, और जो संपूर्ण ब्रह्मांड में व्याप्त हैं, उनको नमन।"
615,Vishaaradaaya,विशारदाय,"Salutations To The one who is supremely expert, skilled, and proficient in all arts and sciences.","सभी कलाओं और विज्ञानों में अत्यंत निपुण, कुशल और प्रवीण रहने वाले को नमन।"
616,Vishvamuurtaye,विश्वमूर्तये,Salutations To The one whose form is the entire universe.,"जिनकी मूर्ति संपूर्ण ब्रह्मांड है, उन्हें नमन।"
617,Vedavedyaaya,वेदवेद्याय,Salutations To The one who can only be known and understood through the sacred Vedas.,वेद के ज्ञान से ही जानने योग्य और समझने योग्य व्यक्ति को नमन।
618,Vaamadevaaya,वामदेवाय,"Salutations To The one who is the beautiful, pleasing, and noble leftist god.","उन वामदेव को नमन जो सुंदर, मनभावन और श्रेष्ठ देव हैं।"
619,Vimocakaaya,विमोचकाय,"Salutations To The one who is the great liberator, granting ultimate freedom from all bondage.",सभी बंधनों से परम मुक्ति प्रदान करने वाले महान उद्धारकर्ता को नमन।
620,Vishvaruupaaya,विश्व रूपाय,"Salutations To The one who possesses a universal, all-encompassing form.","जिनका रूप ब्रह्मांडीय है, उस सर्वव्यापी स्वरूप वाले को नमन।"
621,Viruupaakshaaya,विरूपाक्षाय,Salutations To The one who has an unconventional or odd number of eyes (three eyes).,असामान्य या विषम संख्या में नेत्रों (तीन नेत्रों) वाले को नमन।
622,Vaaniishaaya,वाणीशाय,Salutations To The one who is the supreme lord of speech and eloquence.,वाणी और वाक्पटुता के सर्वोच्च स्वामी को नमन।
623,Havyavaahanaaya,हव्यवाहनाय,"Salutations To The one who is the carrier of oblations Salutations To The  gods, the sacred fire (Agni).",देवताओं को अर्पित की जाने वाली आहुतियों को धारण करने वाले पवित्र अग्नि (अग्नि देव) को नमन।
624,Vrishaanggaaya,वृषांगाय,Salutations To The one whose limbs are as powerful and strong as a bull.,"जिनके अंग वृषभ के समान शक्तिशाली और बलवान हैं, उन्हें नमन।"
625,Vishaalaakshaaya,विशालाक्षाय,"Salutations To The one who has large, beautiful, and far-seeing eyes.","विशाल, सुंदर और दूरदृष्टि वाली आँखों वाले (कालभैरव) को नमन।"
626,Vishvadarshine,विश्वदर्शिने,Salutations To The one who is the ultimate witness and seer of the entire universe.,पूरे ब्रह्मांड के परम साक्षी और दर्शक को नमन।
627,Vilocanaaya,विलोचनाय,Salutations To The one whose eyes are particularly beautiful or special.,"जिनकी आँखें विशेष रूप से सुंदर या विशिष्ट हैं, उन्हें नमन।"
628,Vishaakhaaya,विशाखाय,"Salutations To The one who is the deity of the Vishakha constellation, a form of Kartikeya.",विशाखा नक्षत्र के देवता रूप कार्तिकेय को नमन।
629,Vishvasrije,विश्वस्रिजे,Salutations To The one who is the creator and fashioner of the entire universe.,संपूर्ण ब्रह्मांड के निर्माता और रचयिता को नमन।
630,Vishvaaya,विश्वस्मै,"Salutations To The one who is the cosmos, the universe in its entirety.","जो ब्रह्मांड, संपूर्ण विश्व स्वयं हैं, उनको नमन।"
631,Vijitaatmane,विजितात्मने,Salutations To The one who has completely conquered his own self and mind.,"जिन्होंने अपने मन और स्वयं को पूर्ण रूप से जीत लिया है, उन्हें नमन।"
632,Avyayaaya,अव्ययाय,"Salutations To The one who is imperishable, unchanging, and eternally constant.","जो अविनाशी, अपरिवर्तनशील और शाश्वत रूप से स्थिर है, उन्हें नमन।"
633,Pumse,पुम्से,"Salutations To The one who is the ultimate, primordial male, the cosmic person.","उस परम, आदिम पुरुष, ब्रह्मांडीय व्यक्ति को नमन।"
634,Vyaaghracarmadhritaye,व्याघ्रचर्मधृतये,"Salutations To The one who wears the skin of a tiger, symbolizing mastery over all wild nature.",बाघ की खाल धारण करने वाले (जो सभी जंगली स्वभाव पर प्रभुत्व का प्रतीक है) को नमन।
635,Vyaapine,व्यापिने,"Salutations To The one who is all-pervading, permeating every particle of the universe.","ब्रह्मांड के प्रत्येक कण में व्याप्त, सर्वव्यापी (भगवान) को नमन।"
636,Vaangmayaikanidhaye,वांग्मयीकनिधये,Salutations To The one who is the sole and ultimate treasure-house of all speech and literature.,सभी वाणी और साहित्य के एकमात्र और परम निधि स्वरूप को नमन।
637,Vibhave,विभवे,"Salutations To The one who is the supreme, all-powerful, and magnificent Lord.","सर्वोच्च, सर्वशक्तिमान और तेजस्वी प्रभु को नमन।"
638,Varnaashramagurave,वर्णाश्रमगुरवे,Salutations To The one who is the divine preceptor of the system of social and spiritual orders (Varnashrama).,वर्णाश्रम नामक सामाजिक और आध्यात्मिक व्यवस्था के दिव्य गुरु को नमन।
639,Varnaaya,वर्णाय,"Salutations To The one who is the embodiment of all social classes, letters of the alphabet, and colors.","समस्त वर्णों, अक्षरों और रंगों के साकार स्वरूप को नमन।"
640,Varadaaya,वरदाय,Salutations To The one who is the generous bestower of all blessings and boons.,सभी आशीर्वादों और वरदानों के उदार प्रदाता को नमन।
641,Vaayuvaahanaaya,वायुवाहनाय,Salutations To The one who has the wind as his divine vehicle.,वायु को अपने दिव्य वाहन के रूप में धारण करने वाले को नमन।
642,Vishvakarmane,विश्वकर्मणे,Salutations To The one who is the divine architect and creator of the entire universe.,संपूर्ण ब्रह्मांड के दिव्य वास्तुकार और निर्माता को नमन।
643,Viniitaatmane,विनीतात्मने,"Salutations To The one who possesses a humble, well-behaved, and disciplined soul.","विनम्र, सुशील और अनुशासित आत्मा वाले (कालभैरव) को नमन।"
644,Vedashaastraarthatatvavide,वेदशास्त्रार्थतत्वविदे,Salutations To The one who knows the true essence and meaning of the Vedas and all scriptures.,वेदों और सभी शास्त्रों के सच्चे सार और अर्थ को जानने वाले को नमन।
645,Vasave,वासवे,Salutations To The one who is the embodiment of wealth and one of the celestial Vasus.,धन के साकार स्वरूप और आकाशीय वसुओं में से एक को नमन।
646,Vasumanase,वसुमनसे,Salutations To The one who has a mind that is full of goodness and wealth.,"जिनका मन अच्छाई और धन से परिपूर्ण है, उन्हें नमन।"
647,Paalaaya,पालाय,Salutations To The one who is the supreme protector and guardian of all beings.,सभी प्राणियों के परम रक्षक और संरक्षक को नमन।
648,Viraamaaya,विरामाय,"Salutations To The one who is the ultimate cessation, the final resting place of all creation.","जो परम विश्राम हैं, समस्त सृष्टि का अंतिम विश्राम स्थल हैं, उन्हें नमन।"
649,Vidrumacchavaye,विद्रुमच्छवये,Salutations To The one whose complexion is as radiant and beautiful as coral.,"जिनके शरीर का कांति मूंगे के समान दीप्तिमान और सुंदर है, उन्हें नमन।"
650,Vimocakaaya,विमोकाय,Salutations To The one who is the great liberator from all forms of bondage.,सभी प्रकार के बंधनों से मुक्ति प्रदान करने वाले महान मुक्तिदाता को नमन।
651,Vijayaaya,विजयाय,Salutations To The one who is the ultimate embodiment of victory and triumph.,विजय और पराक्रम के परम् स्वरूप को नमन।
